n, dr =  1000  ????
ind   r               v               rho             Er
0001  6.95700000E+10  5.06984750E+06  2.76274123E-09  9.16944608E+06
0002  6.98429660E+10  9.99260153E+06  1.39076962E-09  8.68186357E+06
0003  7.01170030E+10  1.22185889E+07  1.12852548E-09  8.33131229E+06
0004  7.03921152E+10  1.39680281E+07  9.79480919E-10  8.03712612E+06
0005  7.06683068E+10  1.54627621E+07  8.77895185E-10  7.77838292E+06
0006  7.09455822E+10  1.67907894E+07  8.02153133E-10  7.54504512E+06
0007  7.12239454E+10  1.79980955E+07  7.42506920E-10  7.33125356E+06
0008  7.15034008E+10  1.91124295E+07  6.93760899E-10  7.13319506E+06
0009  7.17839527E+10  2.01521178E+07  6.52835379E-10  6.94820617E+06
0010  7.20656054E+10  2.11300419E+07  6.17764110E-10  6.77433095E+06
0011  7.23483632E+10  2.20556812E+07  5.87220510E-10  6.61007811E+06
0012  7.26322304E+10  2.29362605E+07  5.60270476E-10  6.45427687E+06
0013  7.29172114E+10  2.37774422E+07  5.36233417E-10  6.30598620E+06
0014  7.32033106E+10  2.45837654E+07  5.14599388E-10  6.16443506E+06
0015  7.34905323E+10  2.53589380E+07  4.94977280E-10  6.02898132E+06
0016  7.37788809E+10  2.61060370E+07  4.77061134E-10  5.89908290E+06
0017  7.40683609E+10  2.68276506E+07  4.60607497E-10  5.77427668E+06
0018  7.43589767E+10  2.75259814E+07  4.45419771E-10  5.65416292E+06
0019  7.46507328E+10  2.82029233E+07  4.31337121E-10  5.53839349E+06
0020  7.49436337E+10  2.88601190E+07  4.18226456E-10  5.42666273E+06
0021  7.52376837E+10  2.94990054E+07  4.05976509E-10  5.31870037E+06
0022  7.55328875E+10  3.01208477E+07  3.94493405E-10  5.21426590E+06
0023  7.58292496E+10  3.07267674E+07  3.83697282E-10  5.11314405E+06
0024  7.61267745E+10  3.13177646E+07  3.73519688E-10  5.01514111E+06
0025  7.64254667E+10  3.18947355E+07  3.63901552E-10  4.92008198E+06
0026  7.67253309E+10  3.24584871E+07  3.54791574E-10  4.82780766E+06
0027  7.70263717E+10  3.30097497E+07  3.46144949E-10  4.73817318E+06
0028  7.73285936E+10  3.35491863E+07  3.37922335E-10  4.65104591E+06
0029  7.76320013E+10  3.40774014E+07  3.30089019E-10  4.56630407E+06
0030  7.79365995E+10  3.45949481E+07  3.22614233E-10  4.48383547E+06
0031  7.82423928E+10  3.51023338E+07  3.15470586E-10  4.40353651E+06
0032  7.85493859E+10  3.56000257E+07  3.08633605E-10  4.32531120E+06
0033  7.88575836E+10  3.60884552E+07  3.02081334E-10  4.24907039E+06
0034  7.91669905E+10  3.65680212E+07  2.95794014E-10  4.17473112E+06
0035  7.94776114E+10  3.70390940E+07  2.89753802E-10  4.10221595E+06
0036  7.97894510E+10  3.75020181E+07  2.83944538E-10  4.03145252E+06
0037  8.01025142E+10  3.79571142E+07  2.78351541E-10  3.96237300E+06
0038  8.04168057E+10  3.84046820E+07  2.72961441E-10  3.89491376E+06
0039  8.07323304E+10  3.88450018E+07  2.67762028E-10  3.82901496E+06
0040  8.10490931E+10  3.92783364E+07  2.62742124E-10  3.76462023E+06
0041  8.13670986E+10  3.97049326E+07  2.57891476E-10  3.70167643E+06
0042  8.16863519E+10  4.01250224E+07  2.53200653E-10  3.64013334E+06
0043  8.20068578E+10  4.05388244E+07  2.48660967E-10  3.57994344E+06
0044  8.23286213E+10  4.09465447E+07  2.44264395E-10  3.52106174E+06
0045  8.26516472E+10  4.13483783E+07  2.40003517E-10  3.46344554E+06
0046  8.29759405E+10  4.17445092E+07  2.35871454E-10  3.40705430E+06
0047  8.33015063E+10  4.21351122E+07  2.31861824E-10  3.35184948E+06
0048  8.36283494E+10  4.25203527E+07  2.27968690E-10  3.29779439E+06
0049  8.39564750E+10  4.29003879E+07  2.24186523E-10  3.24485408E+06
0050  8.42858879E+10  4.32753671E+07  2.20510167E-10  3.19299518E+06
0051  8.46165934E+10  4.36454324E+07  2.16934806E-10  3.14218588E+06
0052  8.49485965E+10  4.40107194E+07  2.13455932E-10  3.09239575E+06
