n, dr =  1000  ????
ind   r               v               rho             Er
0001  6.95700000E+10  5.02772966E+06  1.72614525E-09  8.57747126E+06
0002  6.98429660E+10  5.46533593E+06  1.57554587E-09  8.20714044E+06
0003  7.01170030E+10  5.92618682E+06  1.44168783E-09  7.86870936E+06
0004  7.03921152E+10  6.39738023E+06  1.32508295E-09  7.55784332E+06
0005  7.06683068E+10  6.87873764E+06  1.22274288E-09  7.27110356E+06
0006  7.09455822E+10  7.36947557E+06  1.13241591E-09  7.00561429E+06
0007  7.12239454E+10  7.86877540E+06  1.05228664E-09  6.75894231E+06
0008  7.15034008E+10  8.37586220E+06  9.80867492E-10  6.52901462E+06
0009  7.17839527E+10  8.89002059E+06  9.16929101E-10  6.31405485E+06
0010  7.20656054E+10  9.41059644E+06  8.59448845E-10  6.11253268E+06
0011  7.23483632E+10  9.93699403E+06  8.07571181E-10  5.92312317E+06
0012  7.26322304E+10  1.04686720E+07  7.60576510E-10  5.74467372E+06
0013  7.29172114E+10  1.10051386E+07  7.17856510E-10  5.57617714E+06
0014  7.32033106E+10  1.15459474E+07  6.78894423E-10  5.41674948E+06
0015  7.34905323E+10  1.20906930E+07  6.43249239E-10  5.26561180E+06
0016  7.37788809E+10  1.26390068E+07  6.10542904E-10  5.12207499E+06
0017  7.40683609E+10  1.31905533E+07  5.80449953E-10  4.98552714E+06
0018  7.43589767E+10  1.37450272E+07  5.52689036E-10  4.85542298E+06
0019  7.46507328E+10  1.43021499E+07  5.27015982E-10  4.73127495E+06
0020  7.49436337E+10  1.48616671E+07  5.03218084E-10  4.61264571E+06
0021  7.52376837E+10  1.54233463E+07  4.81109373E-10  4.49914174E+06
0022  7.55328875E+10  1.59869744E+07  4.60526690E-10  4.39040794E+06
0023  7.58292496E+10  1.65523563E+07  4.41326411E-10  4.28612294E+06
0024  7.61267745E+10  1.71193124E+07  4.23381703E-10  4.18599517E+06
0025  7.64254667E+10  1.76876778E+07  4.06580216E-10  4.08975938E+06
0026  7.67253309E+10  1.82573004E+07  3.90822140E-10  3.99717370E+06
0027  7.70263717E+10  1.88280400E+07  3.76018548E-10  3.90801705E+06
0028  7.73285936E+10  1.93997667E+07  3.62090000E-10  3.82208690E+06
0029  7.76320013E+10  1.99723606E+07  3.48965344E-10  3.73919736E+06
0030  7.79365995E+10  2.05457103E+07  3.36580688E-10  3.65917739E+06
0031  7.82423928E+10  2.11197126E+07  3.24878529E-10  3.58186937E+06
0032  7.85493859E+10  2.16942713E+07  3.13806984E-10  3.50712775E+06
0033  7.88575836E+10  2.22692969E+07  3.03319146E-10  3.43481789E+06
0034  7.91669905E+10  2.28447060E+07  2.93372510E-10  3.36481499E+06
0035  7.94776114E+10  2.34204204E+07  2.83928483E-10  3.29700325E+06
0036  7.97894510E+10  2.39963673E+07  2.74951951E-10  3.23127499E+06
0037  8.01025142E+10  2.45724782E+07  2.66410910E-10  3.16752994E+06
0038  8.04168057E+10  2.51486891E+07  2.58276131E-10  3.10567463E+06
0039  8.07323304E+10  2.57249396E+07  2.50520874E-10  3.04562173E+06
0040  8.10490931E+10  2.63011731E+07  2.43120635E-10  2.98728962E+06
0041  8.13670986E+10  2.68773361E+07  2.36052921E-10  2.93060185E+06
0042  8.16863519E+10  2.74533781E+07  2.29297050E-10  2.87548676E+06
0043  8.20068578E+10  2.80292516E+07  2.22833979E-10  2.82187707E+06
0044  8.23286213E+10  2.86049114E+07  2.16646147E-10  2.76970958E+06
0045  8.26516472E+10  2.91803149E+07  2.10717333E-10  2.71892480E+06
0046  8.29759405E+10  2.97554215E+07  2.05032538E-10  2.66946671E+06
0047  8.33015063E+10  3.03301928E+07  1.99577869E-10  2.62128248E+06
0048  8.36283494E+10  3.09045921E+07  1.94340446E-10  2.57432225E+06
0049  8.39564750E+10  3.14785847E+07  1.89308307E-10  2.52853893E+06
0050  8.42858879E+10  3.20521372E+07  1.84470334E-10  2.48388795E+06
0051  8.46165934E+10  3.26252180E+07  1.79816179E-10  2.44032715E+06
0052  8.49485965E+10  3.31977967E+07  1.75336198E-10  2.39781658E+06
0053  8.52819022E+10  3.37698443E+07  1.71021396E-10  2.35631833E+06
0054  8.56165156E+10  3.43413330E+07  1.66863371E-10  2.31579645E+06
0055  8.59524420E+10  3.49122361E+07  1.62854272E-10  2.27621679E+06
0056  8.62896864E+10  3.54825279E+07  1.58986748E-10  2.23754686E+06
0057  8.66282540E+10  3.60521840E+07  1.55253915E-10  2.19975578E+06
0058  8.69681500E+10  3.66211804E+07  1.51649317E-10  2.16281412E+06
0059  8.73093797E+10  3.71894944E+07  1.48166896E-10  2.12669386E+06
0060  8.76519482E+10  3.77571040E+07  1.44800959E-10  2.09136829E+06
0061  8.79958608E+10  3.83239878E+07  1.41546156E-10  2.05681190E+06
0062  8.83411228E+10  3.88901252E+07  1.38397451E-10  2.02300034E+06
0063  8.86877394E+10  3.94554965E+07  1.35350099E-10  1.98991037E+06
0064  8.90357161E+10  4.00200821E+07  1.32399631E-10  1.95751974E+06
0065  8.93850581E+10  4.05838635E+07  1.29541827E-10  1.92580719E+06
0066  8.97357707E+10  4.11468225E+07  1.26772707E-10  1.89475235E+06
0067  9.00878595E+10  4.17089414E+07  1.24088507E-10  1.86433573E+06
0068  9.04413296E+10  4.22702032E+07  1.21485669E-10  1.83453863E+06
0069  9.07961867E+10  4.28305910E+07  1.18960827E-10  1.80534315E+06
0070  9.11524361E+10  4.33900887E+07  1.16510794E-10  1.77673209E+06
0071  9.15100833E+10  4.39486803E+07  1.14132550E-10  1.74868895E+06
0072  9.18691337E+10  4.45063505E+07  1.11823230E-10  1.72119789E+06
0073  9.22295930E+10  4.50630841E+07  1.09580118E-10  1.69424369E+06
0074  9.25914665E+10  4.56188664E+07  1.07400634E-10  1.66781170E+06
0075  9.29547599E+10  4.61736829E+07  1.05282328E-10  1.64188786E+06
0076  9.33194787E+10  4.67275194E+07  1.03222869E-10  1.61645861E+06
0077  9.36856285E+10  4.72803623E+07  1.01220043E-10  1.59151092E+06
0078  9.40532150E+10  4.78321978E+07  9.92717400E-11  1.56703223E+06
0079  9.44222437E+10  4.83830127E+07  9.73759532E-11  1.54301043E+06
0080  9.47927203E+10  4.89327939E+07  9.55307691E-11  1.51943387E+06
0081  9.51646506E+10  4.94815287E+07  9.37343642E-11  1.49629130E+06
0082  9.55380402E+10  5.00292044E+07  9.19849991E-11  1.47357185E+06
0083  9.59128948E+10  5.05758087E+07  9.02810140E-11  1.45126507E+06
0084  9.62892202E+10  5.11213293E+07  8.86208241E-11  1.42936083E+06
0085  9.66670221E+10  5.16657543E+07  8.70029156E-11  1.40784937E+06
0086  9.70463064E+10  5.22090719E+07  8.54258417E-11  1.38672125E+06
0087  9.74270789E+10  5.27512705E+07  8.38882190E-11  1.36596735E+06
0088  9.78093453E+10  5.32923386E+07  8.23887243E-11  1.34557884E+06
0089  9.81931117E+10  5.38322649E+07  8.09260910E-11  1.32554720E+06
0090  9.85783838E+10  5.43710383E+07  7.94991065E-11  1.30586416E+06
0091  9.89651675E+10  5.49086478E+07  7.81066092E-11  1.28652173E+06
0092  9.93534689E+10  5.54450825E+07  7.67474859E-11  1.26751218E+06
0093  9.97432937E+10  5.59803317E+07  7.54206694E-11  1.24882800E+06
