n, dr =  1000  ????
ind   r               v               rho             Er
0001  6.95700000E+10  5.07755307E+06  3.01548837E-09  9.28153271E+06
0002  6.98429660E+10  1.00576676E+07  1.51047489E-09  8.69527296E+06
0003  7.01170030E+10  1.52388526E+07  9.89138661E-10  8.22863922E+06
0004  7.03921152E+10  2.00090434E+07  7.47449367E-10  7.84154090E+06
0005  7.06683068E+10  2.41881770E+07  6.13484543E-10  7.51511036E+06
0006  7.09455822E+10  2.78223149E+07  5.29190647E-10  7.23462451E+06
0007  7.12239454E+10  3.10279092E+07  4.70816386E-10  6.98822105E+06
0008  7.15034008E+10  3.39111038E+07  4.27425878E-10  6.76732250E+06
0009  7.17839527E+10  3.65481677E+07  3.93491893E-10  6.56611804E+06
0010  7.20656054E+10  3.89909437E+07  3.65962268E-10  6.38067176E+06
0011  7.23483632E+10  4.12753997E+07  3.43010510E-10  6.20822138E+06
0012  7.26322304E+10  4.34275149E+07  3.23468799E-10  6.04674587E+06
0013  7.29172114E+10  4.54667684E+07  3.06550440E-10  5.89471250E+06
0014  7.32033106E+10  4.74082180E+07  2.91703110E-10  5.75092466E+06
0015  7.34905323E+10  4.92637943E+07  2.78525839E-10  5.61442588E+06
0016  7.37788809E+10  5.10431450E+07  2.66719386E-10  5.48443658E+06
0017  7.40683609E+10  5.27542060E+07  2.56055186E-10  5.36031086E+06
0018  7.43589767E+10  5.44036004E+07  2.46355172E-10  5.24150603E+06
0019  7.46507328E+10  5.59969255E+07  2.37478229E-10  5.12756055E+06
0020  7.49436337E+10  5.75389634E+07  2.29310853E-10  5.01807777E+06
0021  7.52376837E+10  5.90338391E+07  2.21760542E-10  4.91271363E+06
0022  7.55328875E+10  6.04851407E+07  2.14751035E-10  4.81116720E+06
0023  7.58292496E+10  6.18960136E+07  2.08218800E-10  4.71317334E+06
0024  7.61267745E+10  6.32692332E+07  2.02110421E-10  4.61849690E+06
0025  7.64254667E+10  6.46072641E+07  1.96380601E-10  4.52692810E+06
0026  7.67253309E+10  6.59123066E+07  1.90990640E-10  4.43827874E+06
0027  7.70263717E+10  6.71863353E+07  1.85907239E-10  4.35237917E+06
0028  7.73285936E+10  6.84311303E+07  1.81101563E-10  4.26907579E+06
0029  7.76320013E+10  6.96483035E+07  1.76548499E-10  4.18822890E+06
0030  7.79365995E+10  7.08393198E+07  1.72226052E-10  4.10971100E+06
0031  7.82423928E+10  7.20055157E+07  1.68114868E-10  4.03340532E+06
0032  7.85493859E+10  7.31481145E+07  1.64197829E-10  3.95920451E+06
0033  7.88575836E+10  7.42682396E+07  1.60459737E-10  3.88700966E+06
0034  7.91669905E+10  7.53669252E+07  1.56887039E-10  3.81672929E+06
0035  7.94776114E+10  7.64451265E+07  1.53467606E-10  3.74827865E+06
0036  7.97894510E+10  7.75037279E+07  1.50190544E-10  3.68157897E+06
0037  8.01025142E+10  7.85435498E+07  1.47046034E-10  3.61655691E+06
0038  8.04168057E+10  7.95653556E+07  1.44025201E-10  3.55314399E+06
0039  8.07323304E+10  8.05698565E+07  1.41120000E-10  3.49127621E+06
0040  8.10490931E+10  8.15577170E+07  1.38323113E-10  3.43089354E+06
0041  8.13670986E+10  8.25295587E+07  1.35627873E-10  3.37193967E+06
0042  8.16863519E+10  8.34859644E+07  1.33028185E-10  3.31436163E+06
0043  8.20068578E+10  8.44274812E+07  1.30518465E-10  3.25810953E+06
0044  8.23286213E+10  8.53546239E+07  1.28093590E-10  3.20313628E+06
0045  8.26516472E+10  8.62678773E+07  1.25748843E-10  3.14939743E+06
0046  8.29759405E+10  8.71676985E+07  1.23479877E-10  3.09685090E+06
0047  8.33015063E+10  8.80545198E+07  1.21282677E-10  3.04545683E+06
0048  8.36283494E+10  8.89287497E+07  1.19153526E-10  2.99517742E+06
0049  8.39564750E+10  8.97907752E+07  1.17088980E-10  2.94597675E+06
0050  8.42858879E+10  9.06409634E+07  1.15085839E-10  2.89782069E+06
0051  8.46165934E+10  9.14796628E+07  1.13141128E-10  2.85067675E+06
0052  8.49485965E+10  9.23072046E+07  1.11252075E-10  2.80451396E+06
0053  8.52819022E+10  9.31239038E+07  1.09416093E-10  2.75930279E+06
0054  8.56165156E+10  9.39300605E+07  1.07630767E-10  2.71501505E+06
0055  8.59524420E+10  9.47259610E+07  1.05893835E-10  2.67162380E+06
0056  8.62896864E+10  9.55118783E+07  1.04203179E-10  2.62910328E+06
0057  8.66282540E+10  9.62880732E+07  1.02556813E-10  2.58742882E+06
0058  8.69681500E+10  9.70547950E+07  1.00952871E-10  2.54657680E+06
0059  8.73093797E+10  9.78122822E+07  9.93895989E-11  2.50652455E+06
0060  8.76519482E+10  9.85607634E+07  9.78653447E-11  2.46725036E+06
0061  8.79958608E+10  9.93004574E+07  9.63785523E-11  2.42873334E+06
0062  8.83411228E+10  1.00031574E+08  9.49277534E-11  2.39095344E+06
0063  8.86877394E+10  1.00754315E+08  9.35115614E-11  2.35389140E+06
0064  8.90357161E+10  1.01468874E+08  9.21286656E-11  2.31752866E+06
0065  8.93850581E+10  1.02175437E+08  9.07778258E-11  2.28184736E+06
0066  8.97357707E+10  1.02874183E+08  8.94578676E-11  2.24683031E+06
0067  9.00878595E+10  1.03565284E+08  8.81676774E-11  2.21246093E+06
0068  9.04413296E+10  1.04248905E+08  8.69061991E-11  2.17872324E+06
0069  9.07961867E+10  1.04925207E+08  8.56724295E-11  2.14560181E+06
0070  9.11524361E+10  1.05594343E+08  8.44654154E-11  2.11308175E+06
0071  9.15100833E+10  1.06256463E+08  8.32842502E-11  2.08114868E+06
0072  9.18691337E+10  1.06911709E+08  8.21280711E-11  2.04978870E+06
0073  9.22295930E+10  1.07560219E+08  8.09960561E-11  2.01898838E+06
0074  9.25914665E+10  1.08202129E+08  7.98874217E-11  1.98873473E+06
0075  9.29547599E+10  1.08837566E+08  7.88014205E-11  1.95901516E+06
0076  9.33194787E+10  1.09466657E+08  7.77373393E-11  1.92981751E+06
0077  9.36856285E+10  1.10089522E+08  7.66944965E-11  1.90112998E+06
0078  9.40532150E+10  1.10706278E+08  7.56722409E-11  1.87294117E+06
0079  9.44222437E+10  1.11317039E+08  7.46699495E-11  1.84523998E+06
0080  9.47927203E+10  1.11921915E+08  7.36870264E-11  1.81801570E+06
0081  9.51646506E+10  1.12521012E+08  7.27229006E-11  1.79125791E+06
0082  9.55380402E+10  1.13114433E+08  7.17770252E-11  1.76495651E+06
0083  9.59128948E+10  1.13702280E+08  7.08488761E-11  1.73910170E+06
0084  9.62892202E+10  1.14284649E+08  6.99379501E-11  1.71368395E+06
0085  9.66670221E+10  1.14861634E+08  6.90437648E-11  1.68869402E+06
0086  9.70463064E+10  1.15433328E+08  6.81658566E-11  1.66412293E+06
0087  9.74270789E+10  1.15999820E+08  6.73037803E-11  1.63996194E+06
0088  9.78093453E+10  1.16561195E+08  6.64571080E-11  1.61620256E+06
0089  9.81931117E+10  1.17117540E+08  6.56254280E-11  1.59283655E+06
0090  9.85783838E+10  1.17668934E+08  6.48083445E-11  1.56985588E+06
0091  9.89651675E+10  1.18215459E+08  6.40054762E-11  1.54725272E+06
0092  9.93534689E+10  1.18757192E+08  6.32164561E-11  1.52501948E+06
0093  9.97432937E+10  1.19294208E+08  6.24409306E-11  1.50314876E+06
0094  1.00134648E+11  1.19826580E+08  6.16785588E-11  1.48163335E+06
0095  1.00527538E+11  1.20354382E+08  6.09290120E-11  1.46046623E+06
0096  1.00921970E+11  1.20877681E+08  6.01919731E-11  1.43964055E+06
0097  1.01317949E+11  1.21396547E+08  5.94671362E-11  1.41914966E+06
0098  1.01715481E+11  1.21911046E+08  5.87542059E-11  1.39898707E+06
0099  1.02114574E+11  1.22421242E+08  5.80528967E-11  1.37914642E+06
0100  1.02515232E+11  1.22927199E+08  5.73629331E-11  1.35962156E+06
0101  1.02917463E+11  1.23428978E+08  5.66840485E-11  1.34040646E+06
0102  1.03321271E+11  1.23926639E+08  5.60159853E-11  1.32149524E+06
0103  1.03726664E+11  1.24420242E+08  5.53584943E-11  1.30288217E+06
0104  1.04133648E+11  1.24909843E+08  5.47113344E-11  1.28456165E+06
0105  1.04542228E+11  1.25395498E+08  5.40742722E-11  1.26652823E+06
0106  1.04952412E+11  1.25877263E+08  5.34470816E-11  1.24877657E+06
0107  1.05364205E+11  1.26355190E+08  5.28295438E-11  1.23130146E+06
0108  1.05777614E+11  1.26829332E+08  5.22214466E-11  1.21409782E+06
0109  1.06192645E+11  1.27299740E+08  5.16225847E-11  1.19716069E+06
0110  1.06609304E+11  1.27766464E+08  5.10327585E-11  1.18048520E+06
0111  1.07027598E+11  1.28229553E+08  5.04517750E-11  1.16406662E+06
0112  1.07447533E+11  1.28689055E+08  4.98794467E-11  1.14790032E+06
0113  1.07869116E+11  1.29145016E+08  4.93155915E-11  1.13198175E+06
0114  1.08292353E+11  1.29597482E+08  4.87600330E-11  1.11630650E+06
0115  1.08717250E+11  1.30046499E+08  4.82125997E-11  1.10087024E+06
0116  1.09143815E+11  1.30492110E+08  4.76731250E-11  1.08566872E+06
0117  1.09572054E+11  1.30934357E+08  4.71414473E-11  1.07069781E+06
0118  1.10001972E+11  1.31373284E+08  4.66174093E-11  1.05595345E+06
0119  1.10433578E+11  1.31808931E+08  4.61008584E-11  1.04143169E+06
0120  1.10866877E+11  1.32241339E+08  4.55916459E-11  1.02712863E+06
0121  1.11301876E+11  1.32670547E+08  4.50896274E-11  1.01304049E+06
0122  1.11738582E+11  1.33096595E+08  4.45946625E-11  9.99163551E+05
0123  1.12177001E+11  1.33519520E+08  4.41066144E-11  9.85494173E+05
0124  1.12617141E+11  1.33939359E+08  4.36253501E-11  9.72028797E+05
0125  1.13059007E+11  1.34356150E+08  4.31507402E-11  9.58763936E+05
0126  1.13502607E+11  1.34769928E+08  4.26826586E-11  9.45696177E+05
0127  1.13947948E+11  1.35180729E+08  4.22209825E-11  9.32822175E+05
0128  1.14395036E+11  1.35588586E+08  4.17655922E-11  9.20138657E+05
0129  1.14843878E+11  1.35993535E+08  4.13163714E-11  9.07642413E+05
0130  1.15294481E+11  1.36395608E+08  4.08732065E-11  8.95330300E+05
0131  1.15746853E+11  1.36794837E+08  4.04359868E-11  8.83199239E+05
0132  1.16200999E+11  1.37191256E+08  4.00046043E-11  8.71246212E+05
0133  1.16656927E+11  1.37584895E+08  3.95789540E-11  8.59468260E+05
0134  1.17114644E+11  1.37975786E+08  3.91589332E-11  8.47862486E+05
0135  1.17574157E+11  1.38363959E+08  3.87444418E-11  8.36426047E+05
0136  1.18035473E+11  1.38749443E+08  3.83353822E-11  8.25156158E+05
0137  1.18498599E+11  1.39132269E+08  3.79316591E-11  8.14050088E+05
0138  1.18963542E+11  1.39512464E+08  3.75331794E-11  8.03105158E+05
0139  1.19430309E+11  1.39890058E+08  3.71398523E-11  7.92318742E+05
0140  1.19898908E+11  1.40265078E+08  3.67515893E-11  7.81688264E+05
0141  1.20369345E+11  1.40637551E+08  3.63683037E-11  7.71211200E+05
0142  1.20841628E+11  1.41007505E+08  3.59899109E-11  7.60885070E+05
0143  1.21315764E+11  1.41374965E+08  3.56163283E-11  7.50707444E+05
0144  1.21791761E+11  1.41739959E+08  3.52474751E-11  7.40675938E+05
0145  1.22269625E+11  1.42102511E+08  3.48832726E-11  7.30788211E+05
0146  1.22749364E+11  1.42462647E+08  3.45236435E-11  7.21041969E+05
0147  1.23230986E+11  1.42820391E+08  3.41685126E-11  7.11434957E+05
0148  1.23714497E+11  1.43175768E+08  3.38178060E-11  7.01964964E+05
0149  1.24199905E+11  1.43528802E+08  3.34714516E-11  6.92629822E+05
0150  1.24687218E+11  1.43879517E+08  3.31293791E-11  6.83427400E+05
0151  1.25176442E+11  1.44227935E+08  3.27915195E-11  6.74355606E+05
0152  1.25667587E+11  1.44574079E+08  3.24578052E-11  6.65412389E+05
0153  1.26160658E+11  1.44917973E+08  3.21281703E-11  6.56595732E+05
0154  1.26655664E+11  1.45259638E+08  3.18025501E-11  6.47903658E+05
0155  1.27152612E+11  1.45599096E+08  3.14808814E-11  6.39334224E+05
0156  1.27651510E+11  1.45936368E+08  3.11631023E-11  6.30885521E+05
0157  1.28152366E+11  1.46271476E+08  3.08491523E-11  6.22555676E+05
0158  1.28655187E+11  1.46604440E+08  3.05389719E-11  6.14342850E+05
0159  1.29159980E+11  1.46935282E+08  3.02325030E-11  6.06245233E+05
0160  1.29666754E+11  1.47264021E+08  2.99296887E-11  5.98261052E+05
0161  1.30175517E+11  1.47590677E+08  2.96304733E-11  5.90388562E+05
0162  1.30686276E+11  1.47915269E+08  2.93348021E-11  5.82626050E+05
0163  1.31199039E+11  1.48237818E+08  2.90426215E-11  5.74971833E+05
0164  1.31713813E+11  1.48558343E+08  2.87538791E-11  5.67424257E+05
0165  1.32230608E+11  1.48876861E+08  2.84685236E-11  5.59981698E+05
0166  1.32749430E+11  1.49193392E+08  2.81865044E-11  5.52642559E+05
0167  1.33270288E+11  1.49507953E+08  2.79077722E-11  5.45405270E+05
0168  1.33793189E+11  1.49820564E+08  2.76322785E-11  5.38268290E+05
0169  1.34318142E+11  1.50131240E+08  2.73599758E-11  5.31230103E+05
0170  1.34845155E+11  1.50440001E+08  2.70908176E-11  5.24289221E+05
0171  1.35374236E+11  1.50746864E+08  2.68247581E-11  5.17444178E+05
0172  1.35905392E+11  1.51051844E+08  2.65617525E-11  5.10693537E+05
0173  1.36438633E+11  1.51354960E+08  2.63017568E-11  5.04035881E+05
0174  1.36973966E+11  1.51656228E+08  2.60447280E-11  4.97469822E+05
0175  1.37511399E+11  1.51955663E+08  2.57906236E-11  4.90993991E+05
0176  1.38050941E+11  1.52253283E+08  2.55394022E-11  4.84607045E+05
0177  1.38592600E+11  1.52549102E+08  2.52910229E-11  4.78307661E+05
0178  1.39136384E+11  1.52843138E+08  2.50454457E-11  4.72094540E+05
0179  1.39682302E+11  1.53135404E+08  2.48026314E-11  4.65966405E+05
0180  1.40230362E+11  1.53425917E+08  2.45625413E-11  4.59921998E+05
0181  1.40780572E+11  1.53714692E+08  2.43251376E-11  4.53960084E+05
0182  1.41332941E+11  1.54001743E+08  2.40903832E-11  4.48079448E+05
0183  1.41887477E+11  1.54287085E+08  2.38582414E-11  4.42278893E+05
0184  1.42444189E+11  1.54570733E+08  2.36286764E-11  4.36557246E+05
0185  1.43003085E+11  1.54852701E+08  2.34016530E-11  4.30913348E+05
0186  1.43564175E+11  1.55133002E+08  2.31771366E-11  4.25346063E+05
0187  1.44127465E+11  1.55411652E+08  2.29550932E-11  4.19854271E+05
0188  1.44692966E+11  1.55688664E+08  2.27354893E-11  4.14436873E+05
0189  1.45260686E+11  1.55964051E+08  2.25182921E-11  4.09092784E+05
0190  1.45830633E+11  1.56237826E+08  2.23034694E-11  4.03820940E+05
0191  1.46402816E+11  1.56510004E+08  2.20909895E-11  3.98620292E+05
0192  1.46977245E+11  1.56780597E+08  2.18808212E-11  3.93489810E+05
0193  1.47553927E+11  1.57049618E+08  2.16729338E-11  3.88428478E+05
0194  1.48132872E+11  1.57317080E+08  2.14672973E-11  3.83435297E+05
